"english","darija","includes_arabizi"
"A satellite phone is not generally a replacement for a mobile phone, as you have to be outdoors with clear line of sight to the satellite to make a phone call.
","التليفون اللي كيخدم عبر الأقمار الصناعية ماشي بديل بشكل عام عن البورطابل، حيث خاصك أن تكون في الهواء الطلق ويكون معاك خط واضح للقمر الصناعي باش تدير مكالمة هاتفية.",false
"A search of the Internet for 'Hostile environment course' will probably provide the address of a local company.
","يقدر يوصلك البحث في الإنترنت على دورة البيئة العدائية لعنوان شركة محلية.",false
"A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.
","عشاء شعبي بسيط، خاصة في فصل الصيف، هو Pa amb Oli: خبز بزيت الزيتون ومطيشة وأي عطرية متوفرة بحال الجبن والطون وما إلى ذلك.",false
"A study published on Thursday in the journal Science reported on formation of a new bird species on the Ecuadorean Galápagos Islands.
","واحد الدراسة تنشرت نهار الخميس في مجلة العلوم قالت باللي نوع جديد من الطيور كيتمون في جزر غالاباغوس في الإكوادور.",false
"A walking safari (also called a bush walk, hiking safari, or going footing) consists of hiking, either for a few hours or several days.
","رحلة سفاري كيمشيوا فيها على رجليهم (كتتسمى كذلك نزهة الأدغال  ، أو رحلات سفاري سيرًا على الأقدام، أو المشي على الرجلين) تتكون من المشي لمسافات طويلة إما لبضع ساعات أو عدة أيام.",false
"A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.
","النمر على اعتبار أنه رياضي شامل كيقدر يتسلق (واخا ماشي مزيان كاع) ويعوم وينقز لمسافات كبيرة ويجر بقوة خمسة أضعاف قوة الإنسان.",false
"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.
","ولى Eee PC من ASUS اللي تطلق من قبل في جميع أنحاء العالم بسباب توفير التكاليف والقدرة الوظيفية، موضوع مثير في شهر تكنولوجيا المعلومات في تايبيه لعام 2007.",false
"Accepted were Aristotle's views on all matters of science, including psychology.
","كانت وجهات نظر أرسطو مقبولة بالنسبة لكل الأمور العلمية، وحتى علم النفس.",false
"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.
","على حسب الوكالة النّوويّة اليابانية، قدروا يلقاو سيزيوم مشعّ وأيودين في المحطّة.",false
"According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.
","وعلى حسب داكشي اللي قال ميك أوفلين، القائم بأعمال مدير منظّمة الحفاظ على المنتزهات والتّراث التّابعة لNPWS، أن الربعة ديال الصيادين الّلي اختاروهم باش يديرو أول عملية صيد عطاوهم إرشادات السلامة والتدريبات كلها.",false
"According to park authorities, stay at least 100 yards/meters away from bears and wolves and 25 yards/meters from all other wild animals!
","على حسب سلطات الحديقة، خاصك تبقى بعيد بـ 100 ياردة / متر على الأقل من الدببة والدياب و 25 ياردة / متر من جميع الحيوانات البرية الأخرى!",false
"According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
","وعلى حسب ما قالوه البوليس، الشيفور ديال الطوموبيل اللي ضربات المصوّر مغاديش تتوجه ليه وقيلا حتى شي تهمة جنائيّة.",false
"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.
","على حسب آخر تقرير عام، القراءات ديال مستوى سطح البحر كتبين باللي غادي يوقع تسونامي، لاحقاش تسجل نشاط تسونامي مؤكّد قريب من باغو باغو ونيو.",false
"According to the lawsuit, waste from the UN camp was not properly sanitized, causing bacteria to enter the tributary of the Artibonite River, one of Haiti's largest.
","على حسب الدعوى القضائية، نفايات معسكر الأمم المتّحدة ما تعقماتش مزيان، هاذشي خلا البكتيريا تتسلل لرافد الواد ديال أرتيبونايت، وهو من أكبر الويدان ف هايتي.",false
"Across the United States of America, there are approximately 400,000 known cases of Multiple Sclerosis (MS), leaving it as the leading neurological disease in younger and middle aged adults.
","كاين فالأنحاء ديال أمريكا كلها تقريبا 400000 حالة معروفة ديال مرض التصلب العصبي المتعدد (MS)، ذاكشي علاش كيتعتبر المرض العصبي الرئيسي عند البالغين الصغار في العمر والمتوسطين في العمر.",false
"Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.
","ومن ذاك الوقت دخلات أديكويا للمحكمة ديال الشريف في إدنبرة بتهمة أنها قتلات ولدها.",false
"Advisories are merely a brief summary of the political situation in one country.
","الاستشارات هي غير واحد لملخص موجز للوضع السياسي في بلاد واحدة.",false
"Aerosmith have cancelled their remaining concerts on their tour.
","لغاو إيروسميث الحفلات الموسيقية ديالهم الي باقيين ف الجولة ديالهم.",false
"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.
","من بعد أسبوعٍ ديال الخسائر ف انتخابات التجديد النصفي، (بوش) قال للجمهور ديالو على توسيع التجارة ف قارة آسيا.",false
"After all, the leader is ultimately responsible for the success and failure of the team.
","ومن بعد كل شيء، القائد هو اللي مسؤول في التالي على النجاح والفشل ديال الفريق.",false
"After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress John Hancock and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap.
","من بعد ما الكونجرس صادق عليها في 4 يوليوز، صيفطوا نسخة مكتوبة بخط اليد سينياها رئيس الكونجرس جون هانكوك والوزير تشارلز طومسون لمطبعة جون دنلاب اللي بعيدة غير بواحد الشوية عليهم.",false
"After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.
","من بعد ما كيتحققوا المسؤولين من الهوية ديال الناخب، كيحط الناخب البرية في الصندوق، وكيسني على القائمة ديال المصوتين.",false
"After seeing the horrors and atrocities of war during World War I, nations desired to avoid such a situation again in the future.
","بعد رؤية أهوال وفظائع الحرب خلال الحرب العالمية الأولى ، رغبت الدول في تجنب مثل هذا الموقف مرة أخرى في المستقبل.",false
"After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.
","بعدما وقعت الحادثة، نقلوا جبسون للسبيطار، ولكن مات من بعد بواحد الشوية.",false
"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.
","من بعد ما تبنى السد عام 1963، توقفت الفيضانات الموسمية اللي كان ممكن تنشر الرواسب ف الواد كلو.",false
"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.
","من بعد ما بانت النتائج، شكر جينجريتش سانتوروم، ولكنه قال كلام قاسح لرومني، واللي تنشرات حملة إعلانية سلبية عليه ف ولاية آيوا ضد جينجريتش.",false
"Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.
","شحال من حوادث جوية وقعات في إيران، لاحقاش عندها أسطول قديم وما كيديروش ليه الصيانة باش يخدم في العمليات المدنية والعسكرية.",false
"Airlines know well that there is a certain core group of flyers who are willing to pay top dollar for the privilege of getting somewhere fast and in comfort, and charge accordingly.
","شركات الطيران عارفة مزيان باللي كاينة مجموعة رئيسية معينة من المسافرين اللي يقدروا يدفعوا بزاف ديال الفلوس مقابل ياخذوا امتياز أنهم يوصلوا للبلاصة اللي باغيينها بسرعة ومرتاحين، ويدفعوا تكاليف هاذشي.",false
"All I say to people is you treat us the way we treat you.
","كاع الي كنقوله للناس هو أنك تعاملنا بنفس الطريقة اللي كنتعاملوا بها معك.",false
"All animals that originally arrived in the islands came here either by swimming, flying or floating.
","كاع الحيوانات اللي وصلت ف الأصل للجزر جات لهنا إما عن طريق السباحة أو الطيران أو الطفو.",false
"All citizens of Vatican City are Roman Catholic.
","المواطنين ديال مدينة الفاتيكان كلهم من الروم الكاثوليك.",false
"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.
","الأسماء كلها، بالإضافة لكلمة Sie بالنسبة لك، كتبدأ دايماً بحرف كبير، حتى في النص ديال الجملة.",false
"All of the cave entrances, which were named The Seven Sisters, are at least 100 to 250 meters (328 to 820 feet) in diameter.
","كاع المداخل ديال لغار، اللي تسمات الأخوات السبعة، كيوصل القطر ديالها على الأقل من 100 لـ 250 متر (من 328 إلى 820 قدم).",false
"All the ships were sunk, except for one British cruiser. Nearly 200 American and German lives were lost.
","كل السفن غرقت، إلا واحد طراد بريطاني. وماتوا فيها تقريبا 200 أمريكي وألماني.",false
"All these things and more highlight Ontario as what is considered quintessentially Canadian by outsiders.
","هاذ الحوايج كاملين وأكثر كتسلط الضوء على أنتاريو على أنها كتعتبر عندها جوهر كندي بالنسبة للغرباء.",false
"All things considered, we should not be surprised if our own ancestors solved their protein problem in somewhat the same way that chimps on the savanna do today.
","منين كناخذوا كلشي بعين الاعتبار، ما خاصناش نتفاجئوا يلا كان شي واحد من جدودنا حل مشكلة البروتين ديالهم بشي طريقة بحال اللي كيديرها الشمبانزي في السافانا.",false
"Alloys are basically a mixture of two or more metals. Don't forget that there are many elements on the periodic table.
","السبائك هي أساسا خليط ديال جوج ديال المعادن أو أكثر. ما تنساش باللي كاين بزاف ديال العناصر في الجدول الدوري.",false
"Along the same line, men are required to wear trousers covering the knees.
","وف نفس الإطار، كيطلبوا من الرجال يلبسوا سراويل كتغطي الركبة.",false
"Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.
","وكذلك من بعد الثورة ، كانت الوظائف كلها مفتوحة بالنسبة لكاع الذكور وهاذشي خلا الناس اللي عندها طموح ونجاح أكثر تنجح.",false
"Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.
","كذلك ما بين كل سلالة كان واحد العصر غير مستقر بالنسبة للمقاطعات المقسمة. ومن أشهر هاذ الفترات كانت الحقبة ديال الممالك الثلاث التي استمرت 60 عام بين أسرة هان وسلالة جين.",false
"Also blogging forces students to become more savvy about the world around them. The need to feed the interest of the audience inspires students to be clever and interesting (Toto, 2004).
","أيضا المدونات كتخلي الطلبة يكون عندهم معرفة أكبر بالعالم من حولهم. لحقاش الحاجة لتغذية اهتمام الجمهور كتلهم الطلبة باش يكونوا بارعين ومفيدين (Toto، 2004).",false
"Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.
","وقال مركز التحذير من تسونامي في المحيط الهادئ أنه ما كاينة حتى شي مؤشرات كتدل على أنه غادي يوقع شي تسونامي.",false
"Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.
","وفوق هاذشي من جهة الشمال يمكن لك تزور حرم السيدة فاطمة العظيم (ضريح مقدس)، وهو يلاصة ديال الظهورات المريمية الشهيرة على مستوى العالم.",false
"Also, make sure to pronounce r and rr differently: caro means dear, whereas carro means chariot.
","خاصك تتأكد كذلك من نطق r و rr بشكل مختلف: caro معناها عزيزي، وcarro كتعني عربة.",false
"Although AI has a strong connotation of science fiction, AI forms a very important branch of computer science, dealing with behavior, learning and intelligent adaptation in a machine.
","واخا للذكاء الاصطناعي دليل قوي على الخيال العلمي، فهو تيشكل فرع مهم بزاف فعلوم الكمبيوتر، وكيتعامل مع السلوك والتعلم والتكيف الذكي فالآلة.",false
"Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.
","وواخا كانت وينفري كتبكي وهي كتودع الناس، ولكن قالت لجمهورها باللي راها غادي ترجع.",false
"Although pyramid-building in stone continued until the end of the Old Kingdom, the pyramids of Giza were never surpassed in their size and the technical excellence of their construction.
","واخا بقاو كيبنيو الأهرامات بالحجر حتى تسالات الدولة القديمة، ولكن أهرامات الجيزة حتى حاجة ما قدرت تتفوق عليها من حيث الحجم والتميز الفني في البني ديالها.",false
"Although the coastal archipelagos and the biggest lakes are indeed big enough for any yacht, smaller boats or even a kayak offer a different experience.
","واخا الأرخبيلات الساحلية وأكبر البحيرات كبيرة بالفعل بالنسبة لأي يخت، ولكن القوارب الصغيرة أو حتى قوارب الكاياك كتعطيك تجربة مختلفة.",false
"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.
","وواخا منسوب المياه غادي يرتفع واحد العدد ديال الأقدام من بعد الفيضان، ولكن المسؤولين كيتمنوا أن هاذشي يكون كافي باش ترجع قضبان الرمال اللي اتكالت في اتجاه المجرى ديال الواد.",false
"Although three people were inside the house when the car impacted it, none of them were hurt.
","واخا كان في الدار ثلاثة ديال الناس منين دخلات فيها الطوموبيل، ولكن حتى واحد فيهم ما وقعات له شي حاجة.",false
"Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.
","واخا العربات كانت كتتكون غير من ألواح خشبية متوازية، ولكنها راها خلات الخيول تقدر تجرها وتحقق سرعات أكبر وتجر أحمال أكبر من قبل في الطرقان اللي كانوا كيعتبروها صعيبة فذاك الوقت.",false
"An example is visiting, photographing, and learning about organgatuangs in Borneo.
","بحال مثلا تزور الأورجانجاتوانج في بورنيو وتصورها وتتعرف عليها.",false
"An increasingly more popular option for those planning a gap-year is to travel and learn.
","السفر والتعلم هو أكثر اختيار كيعجب الناس اللي كيخططوا ياخذوا عام ديال الراحة.",false
"An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive.
","غالبا ما كيطلع من القوس اللي لفوق صوت رقيق أكثر، ولكن القوس اللي لتحت كيكون أقوى وحازم أكثر.",false
"Ancient China had a unique way of showing different time periods; each stage of China or each family that was in power was a distinctive dynasty.
","كان عند الصين القديمة واحد الطريقة مختلفة كتعرض بيها فترات زمنية مختلفة؛ كل مرحلة من مراحل الصين أو كل عائلة كانت ف السلطة كانت كتعتبر سلالة متميزة.",false
"Ancient Roman meals couldn't have included foods that came to Europe from America or from Asia in later centuries.
","مغاديش يكون في الوجبات الرومانية القديمة كاع داك الأنواع ديال الماكلة اللي جات لأوروبا من أمريكا أو من آسيا في القرون اللي من بعد.",false
"Ancient cultures and tribes began to keep them for easy access to milk, hair, meat, and skins.
","بدات الثقافات والقبائل القديمة تحتفظ بها حيث سهلت عليها كيفاش تقدر تلقى الحليب والشعر واللحم والجلد.",false
"Angel (2006), explains the Continuum approach as a method being used to help organizations reach a higher level of performance.
","(أنجل (2006) كيشرح طريقة الاستمرارية على اعتبار انها طريقة كتخدم بيها المؤسسات باش تعاونها توصل لمستوى أعلى من الأداء.",false
"Another difference was that while the poor people and the woman ate their food while sitting in chairs, the rich men liked to have banquets together where they would lounge on their sides while they ate their meals.
","الاختلاف الآخر هو أنه فاش كانوا الفقرا والعيالات كياكلوا الماكلة وهما جالسين على الكراسي، الرجال الأغنيا كانوا كيبغيوا يديروا العراضات مع بعضياتهم وباكلوا ماكلتهم وهما ممدودين على جنبهم.",false
"Any amendments or requests though should be coursed through the travel agent first and not directly with the hotel.
","وواخا هكاك، كيخص مراجعة أي تعديلات أو طلبات من خلال وكيل السفر في الأول وماشي مباشرة مع الفندق.",false
"Anyone planning a visit to a country that could be considered a war zone should get professional training.
","خاص أي واحد كيخطط باش يمشي لشي بلاد يمكن اعتبارها منطقة حرب يتلقى تدريب احترافي.",false
"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.
","خاص أي واحد تيسوق الطوموبيل دياله في خطوط العرض العالية أو فوق الممرات في الجبل يفكر في أنه ممكن يطيح الثلج أو الجليد أو درجات الحرارة تحت الصفر.",false
"Apia is the capital of Samoa. The town is on the island of Upolu and has a population of just under 40,000.
","أبيا هي عاصمة ساموا. وهاذ المدينة كاينة في جزيرة أوبولو وعدد السكان ديال أقل بشوية من 40 ألف نسمة.",false
"Apia was founded in the 1850s and has been the official capital of Samoa since 1959.
","أبيا تأسست في خمسينيات القرن التاسع عشر وكانت هي العاصمة الرسمية ديال ساموا من عام 1959.",false
"Appropriate use of blogs can empower students to become more analytical and critical; through actively responding to Internet materials, students can define their positions in the context of others' writings as well as outline their own perspectives on particular issues (Oravec, 2002).
","الاستخدام المناسب ديال المدونات يقدر يخلي الطلبة يوليو قادرين على التحليل والنقد أكثر؛ وعن طريق الاستجابة الفعّالة للمواد على شبكة الإنترنت، يقدر الطلبة يحددوا الموقف ديالهم بالنسبة للكتابات الآخرين زيد على ذلك يقدروا يحددوا آراءهم الخاصة بالنسبة لبعض القضايا المعينة (Oravec, 2002).",false
"Argentina is well known for having one of the best polo teams and players in the world.
","كتشتهر الأرجنتين يأن فيها واحدة من أفضل الفراقي ولاعبي البولو في العالم.",false
"Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.
","الفيلسوف أرسطو كان شايف أن كل حاجة كتتكون من مزيج من عنصر أو أكثر من أربعة عناصر. وهي التراب والماء والهواء والنار.",false
"Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G.
","خذا المركز الخمستاش المكسيكي أرلي فلاسكويز في سباق سوبر جي في وضع الجّلوس للرجال. وخذا آدم هول النيوزيلندي المركز التّاسع في بطولة سوبر جي في وضع الوقوف للرجال.",false
"Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank.
","بينت كاميرا مثبتة على ظهر المكوك بعد شي 3 دقائق من الإطلاق بزاف ديال القطع من رغوة العزل وهي كتنفصل من خزان الوقود.",false
"Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns.
","الناس يلغت على شي 60 حالة كان فيها مشكل زيادة درجة الحرارة ديال جهاز آي بود، وهاذشي كان السبب تقريبا في ستة ديال الحرائق وإصابة أربعة ديال ناس بحروق خفيفة.",false
"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.
","في جميع أنحاء المدينة القديمة، تقدر بسهولة تلقى بلايص كتبيع السلعة المغربية التقليدية، فحال الطواجن والفخار والجلد والشيشة وكاع مجموعة كاملة من أدوات الجيجاو، ولكن هاذشي خاص غير بالسياح.",false
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.
","ومنين كان خدام مستشار في الأمن القومي، عاون كارتر دبلوماسيًا على إدارة الشؤون العالمية بحال اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في التالي ديال السبعينيات؛ والثورة الإيرانية اللي تسببات في الكارثة ديال الرهائن الإيرانية عام 1979؛ والغزو السوفييتي لأفغانستان عام 1979.",false
"As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.
","ونتيجة لذاكشي، كيدخن الفنانين جوانات د لحشيش على خشبة المسرح، وكيشجع المسرح براسه الجمهور باش يشاركهم في ذاكشي.",false
"As a result, the process of an organization working together to overcome an obstacle can lead to a new innovative process to serve the customer's need.
","ونتيجة لذاكشي، يمكن يؤدي التعاون داخل المنظمة للتغلب على العقبات ويديروا إجراءات مبتكرة وجديدة تقدر تلبي احتياجات العميل.",false
"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.
","ونتيجة لذاكشي، انقرضوا جوج أنواع ديال الحوت، وولاو جوج ديال الأنواع آخرين دابا معرضين للخطر، ومنهم الشوب الأحدب.",false
"As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.
","في الوقت اللي تراجعت فيه المعرفة اليونانية، الغرب لقى راسه مقطوع من جذوره الفلسفية والعلمية اليونانية.",false
"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.
","لحقاش التلوث الضوئي في الذروة دياله مكانتش المشكلة بحال دابا، عادة ما كيكونوا موجودين في المدن أو في الحرم الجامعي، وكيكون سهل توصل ليهم ماشي بحال هاذوك اللي تبناو في العصر الحديث.",false
"As long as you stay in this zone, you can generally cross borders without going through passport control checkpoints again.
","طالما بقيتي في هاذ المنطقة، يمكن لك عمومًا تعبر الحدود بلا ماتدوز على نقاط تفتيش مراقبة الباسبورات مرة أخرى.",false
"As one example, American citizens in the Middle East might face different situations from Europeans or Arabs.
","مثلا، يقدر يلقى المواطن الأمريكي في الشرق الأوسط معاملة مختلفة عن المعاملة مع الأوروبيين أو العرب.",false
"As soon as you get out of the current, swimming back is no more difficult than normally.
","غير غادي تخرج من التيار، سباحة العودة ليس أكثر صعوبة من المعتاد",false
"As the areas are sparsely populated, and light pollution therefore often not a problem, you will also be able to enjoy the stars.
","في المناطق اللي فيها عدد قليل ديال السكان، وبالتالي مافيهاش مشكلة التلوث الضوئي في كثير من الأحيان، غادي تقدر تستمتع بالنجوم.",false
"As the inter-district buses are often full, it is advisable to purchase a ticket a few days in advance.
","ولحقاش الكيران اللي ما بين الأقاليم غالبًا ما كتكون عامرة، من الأفضل تقطع التذكرة ديالك من قبل بشي أيامات.",false
"As with all South African National Parks, there are daily conservation and entry fees for the park.
","كيفما هو الحال في كل المتنزهات الوطنية في جنوب إفريقيا، كاينة مصاريف ديال الصيانة اليومية والدخول للحديقة.",false
"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.
","فاش كان كيلقي الكلمة دياله في معرض طوكيو لألعاب الفيديو نهار الخميس، هضر رئيس شركة نينتندو ساتورو إواتا لأول مرة على تصميم نظام التحكم في كونسول نينتندو ريفولوشن الجديد.",false
"At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.
","في واحد الوقت، واحد من أفراد العصابة هز رأس واحد من الحرس الملكي قتلوه في فرساي قدام الملكة اللي كانت خايفة.",false
"At the beginning dress was heavily influenced by the Byzantine culture in the east.
","في الأول تأثر اللباس بزاف بالثقافة البيزنطية في الشرق.",false
"At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.
","وبالنسبة للآراء اللي عكس بعضياتها في الاستطلاع، 29% من الناس اللي جاوبوا في الاستطلاع شايفين أن أستراليا خاصها تولي جمهورية في أسرع وقت، ولكن 31% شايفين أن أستراليا مخاصهاش تكون جمهورية كاع.",false
"At the other end of the spectrum, one morphs into an unrecognizable individual that feels he or she must change everything the team has been doing and make it their own.
","وبالعكس، كيتحول الواحد لفرد ما يمكنش تتعرف عليه وكيحس أنه خاصه يبدل كاع داكشي اللي كان كيدير الفريق وخاصه يبقى من الممتلكات دياله.",false
